Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 261: val_loss=4.4766, val_acc=0.2293
Epoch 262: val_loss=4.4488, val_acc=0.2380
Epoch 263: val_loss=4.4431, val_acc=0.2444
Epoch 264: val_loss=4.4455, val_acc=0.2355
Epoch 265: val_loss=4.4482, val_acc=0.2400
Epoch 266: val_loss=4.4560, val_acc=0.2289
Epoch 267: val_loss=4.4605, val_acc=0.2259
Epoch 268: val_loss=4.4354, val_acc=0.2340
Epoch 269: val_loss=4.4863, val_acc=0.2251
Epoch 270: val_loss=4.4276, val_acc=0.2363
Epoch 271: val_loss=4.4433, val_acc=0.2342
Epoch 272: val_loss=4.4647, val_acc=0.2300
Epoch 273: val_loss=4.4211, val_acc=0.2395
Epoch 274: val_loss=4.4259, val_acc=0.2349
Epoch 275: val_loss=4.4353, val_acc=0.2357
Epoch 276: val_loss=4.4044, val_acc=0.2408
Epoch 277: val_loss=4.4185, val_acc=0.2423
Epoch 278: val_loss=4.4106, val_acc=0.2404
Epoch 279: val_loss=4.3970, val_acc=0.2463
Epoch 280: val_loss=4.3798, val_acc=0.2480
Epoch 281: val_loss=4.4000, val_acc=0.2453
Epoch 282: val_loss=4.3902, val_acc=0.2436
Epoch 283: val_loss=4.3966, val_acc=0.2408
Epoch 284: val_loss=4.4000, val_acc=0.2391
Epoch 285: val_loss=4.3673, val_acc=0.2453
Epoch 286: val_loss=4.3588, val_acc=0.2512
Epoch 287: val_loss=4.3744, val_acc=0.2465
Epoch 288: val_loss=4.3552, val_acc=0.2504
Epoch 289: val_loss=4.3536, val_acc=0.2499
Epoch 290: val_loss=4.3799, val_acc=0.2442
Epoch 291: val_loss=4.3271, val_acc=0.2531
Epoch 292: val_loss=4.3540, val_acc=0.2482
Epoch 293: val_loss=4.3385, val_acc=0.2502
Epoch 294: val_loss=4.3388, val_acc=0.2480
Epoch 295: val_loss=4.3173, val_acc=0.2493
Epoch 296: val_loss=4.3308, val_acc=0.2482
Epoch 297: val_loss=4.3482, val_acc=0.2533
Epoch 298: val_loss=4.3260, val_acc=0.2589
Epoch 299: val_loss=4.3066, val_acc=0.2574
Epoch 300: val_loss=4.3505, val_acc=0.2521
Epoch 301: val_loss=4.3444, val_acc=0.2512
Epoch 302: val_loss=4.3449, val_acc=0.2474
Epoch 303: val_loss=4.3146, val_acc=0.2555
Epoch 304: val_loss=4.3419, val_acc=0.2536
Epoch 305: val_loss=4.3347, val_acc=0.2606
Epoch 306: val_loss=4.3192, val_acc=0.2563
Epoch 307: val_loss=4.3291, val_acc=0.2616
Epoch 308: val_loss=4.3034, val_acc=0.2610
Epoch 309: val_loss=4.3301, val_acc=0.2546
Epoch 310: val_loss=4.2973, val_acc=0.2608
Epoch 311: val_loss=4.2933, val_acc=0.2618
Epoch 312: val_loss=4.3078, val_acc=0.2631
Epoch 313: val_loss=4.3101, val_acc=0.2650
Epoch 314: val_loss=4.3149, val_acc=0.2614
Epoch 315: val_loss=4.3004, val_acc=0.2640
Epoch 316: val_loss=4.2986, val_acc=0.2661
Epoch 317: val_loss=4.2799, val_acc=0.2667
Epoch 318: val_loss=4.2966, val_acc=0.2638
Epoch 319: val_loss=4.3046, val_acc=0.2646
Epoch 320: val_loss=4.3424, val_acc=0.2559
Epoch 321: val_loss=4.3229, val_acc=0.2606
Epoch 322: val_loss=4.3351, val_acc=0.2589
Epoch 323: val_loss=4.2864, val_acc=0.2610
Epoch 324: val_loss=4.3130, val_acc=0.2544
Epoch 325: val_loss=4.2887, val_acc=0.2648
Epoch 326: val_loss=4.2831, val_acc=0.2676
Epoch 327: val_loss=4.2997, val_acc=0.2665
Epoch 328: val_loss=4.2999, val_acc=0.2589
Epoch 329: val_loss=4.2874, val_acc=0.2693
Epoch 330: val_loss=4.3038, val_acc=0.2638
Epoch 331: val_loss=4.2952, val_acc=0.2706
Epoch 332: val_loss=4.2926, val_acc=0.2614
Epoch 333: val_loss=4.2915, val_acc=0.2684
Epoch 334: val_loss=4.2926, val_acc=0.2678
Epoch 335: val_loss=4.2940, val_acc=0.2689
Epoch 336: val_loss=4.2872, val_acc=0.2680
Epoch 337: val_loss=4.2757, val_acc=0.2695
Epoch 338: val_loss=4.2934, val_acc=0.2610
Epoch 339: val_loss=4.2935, val_acc=0.2674
Epoch 340: val_loss=4.2938, val_acc=0.2659
Epoch 341: val_loss=4.2790, val_acc=0.2697
Epoch 342: val_loss=4.2715, val_acc=0.2733
Epoch 343: val_loss=4.2867, val_acc=0.2659
Epoch 344: val_loss=4.2627, val_acc=0.2757
Epoch 345: val_loss=4.2840, val_acc=0.2704
Epoch 346: val_loss=4.2872, val_acc=0.2689
Epoch 347: val_loss=4.2803, val_acc=0.2676
Epoch 348: val_loss=4.2837, val_acc=0.2678
Epoch 349: val_loss=4.2811, val_acc=0.2689
Epoch 350: val_loss=4.2747, val_acc=0.2755
Epoch 351: val_loss=4.2713, val_acc=0.2708
Epoch 352: val_loss=4.2823, val_acc=0.2644
Epoch 353: val_loss=4.2815, val_acc=0.2672
Epoch 354: val_loss=4.2791, val_acc=0.2712
Epoch 355: val_loss=4.2791, val_acc=0.2725
Epoch 356: val_loss=4.2722, val_acc=0.2748
Epoch 357: val_loss=4.2697, val_acc=0.2693
Epoch 358: val_loss=4.2455, val_acc=0.2763
Epoch 359: val_loss=4.2672, val_acc=0.2697
Epoch 360: val_loss=4.2667, val_acc=0.2759
Epoch 361: val_loss=4.2669, val_acc=0.2742
Epoch 362: val_loss=4.2745, val_acc=0.2691
Epoch 363: val_loss=4.2614, val_acc=0.2746
Epoch 364: val_loss=4.2647, val_acc=0.2746
Epoch 365: val_loss=4.2681, val_acc=0.2733
Epoch 366: val_loss=4.2728, val_acc=0.2740
Epoch 367: val_loss=4.2703, val_acc=0.2752
Epoch 368: val_loss=4.2649, val_acc=0.2721
Epoch 369: val_loss=4.2709, val_acc=0.2738
Epoch 370: val_loss=4.2620, val_acc=0.2740
Epoch 371: val_loss=4.2725, val_acc=0.2755
