Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 175: val_loss=3.1765, val_acc=0.4293
Epoch 176: val_loss=3.1458, val_acc=0.4272
Epoch 177: val_loss=3.1555, val_acc=0.4374
Epoch 178: val_loss=3.1360, val_acc=0.4300
Epoch 179: val_loss=3.1385, val_acc=0.4298
Epoch 180: val_loss=3.0829, val_acc=0.4461
Epoch 181: val_loss=3.1133, val_acc=0.4321
Epoch 182: val_loss=3.0622, val_acc=0.4446
Epoch 183: val_loss=3.0712, val_acc=0.4512
Epoch 184: val_loss=3.0598, val_acc=0.4478
Epoch 185: val_loss=3.0291, val_acc=0.4550
Epoch 186: val_loss=3.0736, val_acc=0.4495
Epoch 187: val_loss=3.0367, val_acc=0.4461
Epoch 188: val_loss=3.0276, val_acc=0.4565
Epoch 189: val_loss=3.0680, val_acc=0.4478
Epoch 190: val_loss=3.0239, val_acc=0.4597
Epoch 191: val_loss=3.0036, val_acc=0.4610
Epoch 192: val_loss=2.9937, val_acc=0.4621
Epoch 193: val_loss=2.9663, val_acc=0.4687
Epoch 194: val_loss=2.9564, val_acc=0.4684
Epoch 195: val_loss=2.9536, val_acc=0.4582
Epoch 196: val_loss=2.9380, val_acc=0.4652
Epoch 197: val_loss=2.9461, val_acc=0.4659
Epoch 198: val_loss=2.8966, val_acc=0.4714
Epoch 199: val_loss=2.9108, val_acc=0.4738
Epoch 200: val_loss=2.8930, val_acc=0.4714
Epoch 201: val_loss=2.9174, val_acc=0.4699
Epoch 202: val_loss=2.9292, val_acc=0.4731
Epoch 203: val_loss=2.8731, val_acc=0.4791
Epoch 204: val_loss=2.8809, val_acc=0.4712
Epoch 205: val_loss=2.8979, val_acc=0.4774
Epoch 206: val_loss=2.8669, val_acc=0.4763
Epoch 207: val_loss=2.8764, val_acc=0.4818
Epoch 208: val_loss=2.8754, val_acc=0.4797
Epoch 209: val_loss=2.8406, val_acc=0.4806
Epoch 210: val_loss=2.8099, val_acc=0.4850
Epoch 211: val_loss=2.8024, val_acc=0.4852
Epoch 212: val_loss=2.7995, val_acc=0.4837
Epoch 213: val_loss=2.7774, val_acc=0.4867
Epoch 214: val_loss=2.8589, val_acc=0.4784
Epoch 215: val_loss=2.8168, val_acc=0.4814
Epoch 216: val_loss=2.8122, val_acc=0.4831
Epoch 217: val_loss=2.7695, val_acc=0.4863
Epoch 218: val_loss=2.7413, val_acc=0.4980
Epoch 219: val_loss=2.7321, val_acc=0.4995
Epoch 220: val_loss=2.7117, val_acc=0.4997
Epoch 221: val_loss=2.7123, val_acc=0.4956
Epoch 222: val_loss=2.6863, val_acc=0.5003
Epoch 223: val_loss=2.7199, val_acc=0.4986
Epoch 224: val_loss=2.6856, val_acc=0.5027
Epoch 225: val_loss=2.6872, val_acc=0.5010
Epoch 226: val_loss=2.6582, val_acc=0.5056
Epoch 227: val_loss=2.6683, val_acc=0.4978
Epoch 228: val_loss=2.6803, val_acc=0.4959
Epoch 229: val_loss=2.7003, val_acc=0.4986
Epoch 230: val_loss=2.6779, val_acc=0.5035
Epoch 231: val_loss=2.6632, val_acc=0.4984
Epoch 232: val_loss=2.6656, val_acc=0.5052
Epoch 233: val_loss=2.6278, val_acc=0.5075
Epoch 234: val_loss=2.6340, val_acc=0.5052
Epoch 235: val_loss=2.6577, val_acc=0.5014
Epoch 236: val_loss=2.6346, val_acc=0.5039
Epoch 237: val_loss=2.6539, val_acc=0.5018
Epoch 238: val_loss=2.6541, val_acc=0.5022
Epoch 239: val_loss=2.6393, val_acc=0.5020
Epoch 240: val_loss=2.6038, val_acc=0.5088
Epoch 241: val_loss=2.5969, val_acc=0.5058
Epoch 242: val_loss=2.6193, val_acc=0.5122
Epoch 243: val_loss=2.5928, val_acc=0.5103
Epoch 244: val_loss=2.5687, val_acc=0.5126
Epoch 245: val_loss=2.5680, val_acc=0.5163
Epoch 246: val_loss=2.5540, val_acc=0.5143
Epoch 247: val_loss=2.5659, val_acc=0.5101
Epoch 248: val_loss=2.5818, val_acc=0.5135
Epoch 249: val_loss=2.6014, val_acc=0.5120
Epoch 250: val_loss=2.5588, val_acc=0.5154
Epoch 251: val_loss=2.5622, val_acc=0.5088
Epoch 252: val_loss=2.5549, val_acc=0.5139
Epoch 253: val_loss=2.5418, val_acc=0.5143
Epoch 254: val_loss=2.5409, val_acc=0.5146
Epoch 255: val_loss=2.5271, val_acc=0.5167
Epoch 256: val_loss=2.5302, val_acc=0.5156
Epoch 257: val_loss=2.5318, val_acc=0.5120
Epoch 258: val_loss=2.5149, val_acc=0.5173
Epoch 259: val_loss=2.4957, val_acc=0.5205
Epoch 260: val_loss=2.5103, val_acc=0.5188
Epoch 261: val_loss=2.5145, val_acc=0.5190
Epoch 262: val_loss=2.4946, val_acc=0.5243
Epoch 263: val_loss=2.4854, val_acc=0.5228
Epoch 264: val_loss=2.4846, val_acc=0.5235
Epoch 265: val_loss=2.5095, val_acc=0.5226
Epoch 266: val_loss=2.4863, val_acc=0.5194
Epoch 267: val_loss=2.4462, val_acc=0.5231
Epoch 268: val_loss=2.4540, val_acc=0.5237
Epoch 269: val_loss=2.4790, val_acc=0.5165
Epoch 270: val_loss=2.4647, val_acc=0.5192
Epoch 271: val_loss=2.4485, val_acc=0.5241
Epoch 272: val_loss=2.4463, val_acc=0.5248
Epoch 273: val_loss=2.4430, val_acc=0.5269
Epoch 274: val_loss=2.4259, val_acc=0.5258
Epoch 275: val_loss=2.4155, val_acc=0.5265
Epoch 276: val_loss=2.4428, val_acc=0.5262
Epoch 277: val_loss=2.4092, val_acc=0.5311
Epoch 278: val_loss=2.4159, val_acc=0.5296
Epoch 279: val_loss=2.4067, val_acc=0.5301
Epoch 280: val_loss=2.4022, val_acc=0.5303
Epoch 281: val_loss=2.3994, val_acc=0.5313
Epoch 282: val_loss=2.4071, val_acc=0.5316
Epoch 283: val_loss=2.4063, val_acc=0.5324
Epoch 284: val_loss=2.4060, val_acc=0.5282
Epoch 285: val_loss=2.4247, val_acc=0.5260
Epoch 286: val_loss=2.4005, val_acc=0.5245
Epoch 287: val_loss=2.3848, val_acc=0.5326
Epoch 288: val_loss=2.3811, val_acc=0.5318
Epoch 289: val_loss=2.3699, val_acc=0.5299
Epoch 290: val_loss=2.3828, val_acc=0.5273
Epoch 291: val_loss=2.3606, val_acc=0.5311
Epoch 292: val_loss=2.3526, val_acc=0.5373
Epoch 293: val_loss=2.3810, val_acc=0.5362
Epoch 294: val_loss=2.3558, val_acc=0.5322
Epoch 295: val_loss=2.3514, val_acc=0.5362
Epoch 296: val_loss=2.3486, val_acc=0.5358
Epoch 297: val_loss=2.3675, val_acc=0.5350
Epoch 298: val_loss=2.3507, val_acc=0.5358
Epoch 299: val_loss=2.3539, val_acc=0.5356
Epoch 300: val_loss=2.3588, val_acc=0.5343
Epoch 301: val_loss=2.3596, val_acc=0.5333
Epoch 302: val_loss=2.3444, val_acc=0.5382
Epoch 303: val_loss=2.3338, val_acc=0.5365
Epoch 304: val_loss=2.3273, val_acc=0.5350
Epoch 305: val_loss=2.3374, val_acc=0.5365
Epoch 306: val_loss=2.3356, val_acc=0.5356
Epoch 307: val_loss=2.3351, val_acc=0.5396
Epoch 308: val_loss=2.3344, val_acc=0.5375
Epoch 309: val_loss=2.3317, val_acc=0.5360
Epoch 310: val_loss=2.3307, val_acc=0.5362
Epoch 311: val_loss=2.3204, val_acc=0.5375
Epoch 312: val_loss=2.3365, val_acc=0.5371
Epoch 313: val_loss=2.3218, val_acc=0.5382
Epoch 314: val_loss=2.3129, val_acc=0.5371
Epoch 315: val_loss=2.3300, val_acc=0.5375
Epoch 316: val_loss=2.3104, val_acc=0.5384
Epoch 317: val_loss=2.3254, val_acc=0.5384
Epoch 318: val_loss=2.3194, val_acc=0.5369
Epoch 319: val_loss=2.3140, val_acc=0.5405
Epoch 320: val_loss=2.3186, val_acc=0.5403
Epoch 321: val_loss=2.2983, val_acc=0.5420
Epoch 322: val_loss=2.3139, val_acc=0.5405
Epoch 323: val_loss=2.3096, val_acc=0.5407
Epoch 324: val_loss=2.3056, val_acc=0.5416
Epoch 325: val_loss=2.3134, val_acc=0.5394
Epoch 326: val_loss=2.3105, val_acc=0.5407
Epoch 327: val_loss=2.3212, val_acc=0.5409
Epoch 328: val_loss=2.2971, val_acc=0.5433
Epoch 329: val_loss=2.2997, val_acc=0.5392
Epoch 330: val_loss=2.2955, val_acc=0.5407
Epoch 331: val_loss=2.2988, val_acc=0.5405
Epoch 332: val_loss=2.2923, val_acc=0.5377
Epoch 333: val_loss=2.2902, val_acc=0.5418
Epoch 334: val_loss=2.2954, val_acc=0.5413
Epoch 335: val_loss=2.2894, val_acc=0.5428
Epoch 336: val_loss=2.2938, val_acc=0.5418
Epoch 337: val_loss=2.2925, val_acc=0.5418
Epoch 338: val_loss=2.2980, val_acc=0.5403
Epoch 339: val_loss=2.3001, val_acc=0.5392
Epoch 340: val_loss=2.3012, val_acc=0.5420
Epoch 341: val_loss=2.2832, val_acc=0.5426
Epoch 342: val_loss=2.2876, val_acc=0.5396
Epoch 343: val_loss=2.2982, val_acc=0.5411
Epoch 344: val_loss=2.2898, val_acc=0.5409
