Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 153: val_loss=5.5701, val_acc=0.0980
Epoch 154: val_loss=5.6086, val_acc=0.1018
Epoch 155: val_loss=5.5668, val_acc=0.0988
Epoch 156: val_loss=5.5347, val_acc=0.1086
Epoch 157: val_loss=5.5400, val_acc=0.1054
Epoch 158: val_loss=5.4760, val_acc=0.1067
Epoch 159: val_loss=5.5207, val_acc=0.1058
Epoch 160: val_loss=5.4983, val_acc=0.1061
Epoch 161: val_loss=5.5115, val_acc=0.1065
Epoch 162: val_loss=5.5114, val_acc=0.1101
Epoch 163: val_loss=5.4500, val_acc=0.1137
Epoch 164: val_loss=5.4361, val_acc=0.1203
Epoch 165: val_loss=5.5062, val_acc=0.1163
Epoch 166: val_loss=5.4769, val_acc=0.1156
Epoch 167: val_loss=5.4206, val_acc=0.1201
Epoch 168: val_loss=5.4631, val_acc=0.1135
Epoch 169: val_loss=5.4876, val_acc=0.1114
Epoch 170: val_loss=5.4886, val_acc=0.1180
Epoch 171: val_loss=5.4250, val_acc=0.1190
Epoch 172: val_loss=5.4460, val_acc=0.1201
Epoch 173: val_loss=5.4810, val_acc=0.1150
Epoch 174: val_loss=5.4256, val_acc=0.1250
Epoch 175: val_loss=5.4243, val_acc=0.1284
Epoch 176: val_loss=5.3559, val_acc=0.1307
Epoch 177: val_loss=5.3870, val_acc=0.1252
Epoch 178: val_loss=5.3589, val_acc=0.1339
Epoch 179: val_loss=5.3421, val_acc=0.1360
Epoch 180: val_loss=5.3366, val_acc=0.1313
Epoch 181: val_loss=5.3384, val_acc=0.1290
Epoch 182: val_loss=5.3093, val_acc=0.1360
Epoch 183: val_loss=5.3163, val_acc=0.1382
Epoch 184: val_loss=5.3255, val_acc=0.1405
Epoch 185: val_loss=5.3279, val_acc=0.1413
Epoch 186: val_loss=5.3641, val_acc=0.1350
Epoch 187: val_loss=5.3905, val_acc=0.1282
Epoch 188: val_loss=5.3278, val_acc=0.1339
Epoch 189: val_loss=5.2877, val_acc=0.1388
Epoch 190: val_loss=5.3212, val_acc=0.1365
Epoch 191: val_loss=5.2516, val_acc=0.1496
Epoch 192: val_loss=5.2927, val_acc=0.1394
Epoch 193: val_loss=5.2924, val_acc=0.1382
Epoch 194: val_loss=5.3240, val_acc=0.1356
Epoch 195: val_loss=5.2885, val_acc=0.1384
Epoch 196: val_loss=5.2863, val_acc=0.1486
Epoch 197: val_loss=5.2529, val_acc=0.1488
Epoch 198: val_loss=5.2452, val_acc=0.1532
Epoch 199: val_loss=5.2431, val_acc=0.1469
Epoch 200: val_loss=5.2356, val_acc=0.1520
Epoch 201: val_loss=5.2680, val_acc=0.1515
Epoch 202: val_loss=5.3275, val_acc=0.1405
Epoch 203: val_loss=5.2531, val_acc=0.1484
Epoch 204: val_loss=5.2254, val_acc=0.1501
Epoch 205: val_loss=5.2290, val_acc=0.1513
Epoch 206: val_loss=5.1771, val_acc=0.1556
Epoch 207: val_loss=5.2193, val_acc=0.1467
Epoch 208: val_loss=5.1781, val_acc=0.1571
Epoch 209: val_loss=5.2890, val_acc=0.1443
Epoch 210: val_loss=5.1633, val_acc=0.1564
Epoch 211: val_loss=5.2089, val_acc=0.1498
Epoch 212: val_loss=5.2019, val_acc=0.1575
Epoch 213: val_loss=5.1588, val_acc=0.1554
Epoch 214: val_loss=5.1751, val_acc=0.1613
Epoch 215: val_loss=5.1000, val_acc=0.1654
Epoch 216: val_loss=5.0919, val_acc=0.1705
Epoch 217: val_loss=5.1573, val_acc=0.1541
Epoch 218: val_loss=5.1730, val_acc=0.1571
Epoch 219: val_loss=5.1424, val_acc=0.1649
Epoch 220: val_loss=5.1365, val_acc=0.1637
Epoch 221: val_loss=5.1298, val_acc=0.1639
Epoch 222: val_loss=5.0915, val_acc=0.1660
Epoch 223: val_loss=5.0824, val_acc=0.1743
Epoch 224: val_loss=5.0725, val_acc=0.1668
Epoch 225: val_loss=5.0717, val_acc=0.1707
Epoch 226: val_loss=5.1331, val_acc=0.1630
Epoch 227: val_loss=5.0877, val_acc=0.1671
Epoch 228: val_loss=5.0459, val_acc=0.1753
Epoch 229: val_loss=5.0491, val_acc=0.1724
Epoch 230: val_loss=5.0705, val_acc=0.1690
Epoch 231: val_loss=5.0957, val_acc=0.1728
Epoch 232: val_loss=5.0326, val_acc=0.1756
Epoch 233: val_loss=5.0769, val_acc=0.1724
Epoch 234: val_loss=5.0693, val_acc=0.1741
Epoch 235: val_loss=5.0335, val_acc=0.1783
Epoch 236: val_loss=4.9961, val_acc=0.1821
Epoch 237: val_loss=5.0252, val_acc=0.1775
Epoch 238: val_loss=5.0432, val_acc=0.1745
Epoch 239: val_loss=5.0638, val_acc=0.1722
Epoch 240: val_loss=4.9972, val_acc=0.1845
Epoch 241: val_loss=5.0482, val_acc=0.1781
Epoch 242: val_loss=5.0068, val_acc=0.1896
Epoch 243: val_loss=5.0169, val_acc=0.1826
Epoch 244: val_loss=4.9747, val_acc=0.1881
Epoch 245: val_loss=4.9897, val_acc=0.1832
Epoch 246: val_loss=4.9610, val_acc=0.1921
Epoch 247: val_loss=4.9918, val_acc=0.1870
Epoch 248: val_loss=5.0028, val_acc=0.1817
Epoch 249: val_loss=4.9488, val_acc=0.1853
Epoch 250: val_loss=4.9487, val_acc=0.1894
Epoch 251: val_loss=4.9495, val_acc=0.1938
Epoch 252: val_loss=4.9657, val_acc=0.1892
Epoch 253: val_loss=4.9756, val_acc=0.1906
Epoch 254: val_loss=4.9195, val_acc=0.1896
Epoch 255: val_loss=4.9417, val_acc=0.1936
Epoch 256: val_loss=4.9146, val_acc=0.1919
Epoch 257: val_loss=4.9500, val_acc=0.1947
Epoch 258: val_loss=4.9248, val_acc=0.1962
Epoch 259: val_loss=4.9215, val_acc=0.1983
Epoch 260: val_loss=4.9320, val_acc=0.1940
Epoch 261: val_loss=4.9769, val_acc=0.1870
Epoch 262: val_loss=4.9104, val_acc=0.1983
Epoch 263: val_loss=4.9313, val_acc=0.1932
Epoch 264: val_loss=4.9703, val_acc=0.1885
Epoch 265: val_loss=4.9250, val_acc=0.1947
Epoch 266: val_loss=4.9378, val_acc=0.2000
Epoch 267: val_loss=4.9303, val_acc=0.1977
Epoch 268: val_loss=4.9455, val_acc=0.2009
Epoch 269: val_loss=4.9568, val_acc=0.1872
Epoch 270: val_loss=4.9104, val_acc=0.2013
Epoch 271: val_loss=4.9145, val_acc=0.2021
Epoch 272: val_loss=4.9057, val_acc=0.2070
Epoch 273: val_loss=4.9171, val_acc=0.2079
Epoch 274: val_loss=4.8965, val_acc=0.2030
Epoch 275: val_loss=4.8897, val_acc=0.2096
Epoch 276: val_loss=4.8968, val_acc=0.2072
Epoch 277: val_loss=4.9059, val_acc=0.2072
Epoch 278: val_loss=4.8909, val_acc=0.2068
Epoch 279: val_loss=4.8704, val_acc=0.2102
Epoch 280: val_loss=4.8727, val_acc=0.2098
Epoch 281: val_loss=4.8642, val_acc=0.2108
Epoch 282: val_loss=4.8861, val_acc=0.2106
Epoch 283: val_loss=4.9050, val_acc=0.2038
Epoch 284: val_loss=4.8607, val_acc=0.2138
Epoch 285: val_loss=4.8613, val_acc=0.2085
Epoch 286: val_loss=4.8769, val_acc=0.2094
Epoch 287: val_loss=4.8741, val_acc=0.2140
Epoch 288: val_loss=4.8580, val_acc=0.2145
Epoch 289: val_loss=4.8507, val_acc=0.2170
Epoch 290: val_loss=4.8669, val_acc=0.2147
Epoch 291: val_loss=4.8785, val_acc=0.2174
Epoch 292: val_loss=4.8613, val_acc=0.2123
Epoch 293: val_loss=4.8483, val_acc=0.2102
Epoch 294: val_loss=4.8449, val_acc=0.2130
Epoch 295: val_loss=4.8564, val_acc=0.2079
Epoch 296: val_loss=4.8473, val_acc=0.2213
Epoch 297: val_loss=4.8390, val_acc=0.2200
Epoch 298: val_loss=4.8257, val_acc=0.2208
Epoch 299: val_loss=4.8408, val_acc=0.2200
Epoch 300: val_loss=4.8314, val_acc=0.2204
Epoch 301: val_loss=4.8503, val_acc=0.2238
Epoch 302: val_loss=4.8300, val_acc=0.2198
Epoch 303: val_loss=4.8307, val_acc=0.2200
Epoch 304: val_loss=4.8116, val_acc=0.2198
Epoch 305: val_loss=4.8468, val_acc=0.2223
Epoch 306: val_loss=4.8176, val_acc=0.2244
Epoch 307: val_loss=4.8110, val_acc=0.2234
Epoch 308: val_loss=4.8332, val_acc=0.2238
Epoch 309: val_loss=4.8249, val_acc=0.2274
Epoch 310: val_loss=4.8275, val_acc=0.2276
Epoch 311: val_loss=4.8134, val_acc=0.2287
Epoch 312: val_loss=4.8186, val_acc=0.2247
Epoch 313: val_loss=4.8119, val_acc=0.2308
Epoch 314: val_loss=4.8189, val_acc=0.2234
Epoch 315: val_loss=4.8129, val_acc=0.2215
Epoch 316: val_loss=4.8096, val_acc=0.2302
Epoch 317: val_loss=4.8162, val_acc=0.2300
Epoch 318: val_loss=4.8278, val_acc=0.2238
Epoch 319: val_loss=4.8080, val_acc=0.2261
Epoch 320: val_loss=4.8064, val_acc=0.2357
Epoch 321: val_loss=4.7933, val_acc=0.2397
Epoch 322: val_loss=4.7993, val_acc=0.2336
Epoch 323: val_loss=4.8006, val_acc=0.2368
Epoch 324: val_loss=4.7953, val_acc=0.2378
Epoch 325: val_loss=4.7936, val_acc=0.2342
Epoch 326: val_loss=4.7901, val_acc=0.2329
Epoch 327: val_loss=4.7995, val_acc=0.2363
Epoch 328: val_loss=4.7950, val_acc=0.2338
Epoch 329: val_loss=4.8089, val_acc=0.2351
Epoch 330: val_loss=4.7870, val_acc=0.2321
Epoch 331: val_loss=4.7911, val_acc=0.2332
Epoch 332: val_loss=4.8052, val_acc=0.2289
Epoch 333: val_loss=4.7999, val_acc=0.2298
Epoch 334: val_loss=4.7995, val_acc=0.2370
Epoch 335: val_loss=4.7920, val_acc=0.2342
Epoch 336: val_loss=4.7955, val_acc=0.2336
Epoch 337: val_loss=4.7823, val_acc=0.2334
Epoch 338: val_loss=4.7952, val_acc=0.2370
Epoch 339: val_loss=4.7893, val_acc=0.2370
Epoch 340: val_loss=4.7877, val_acc=0.2368
Epoch 341: val_loss=4.7938, val_acc=0.2357
Epoch 342: val_loss=4.7956, val_acc=0.2385
Epoch 343: val_loss=4.8050, val_acc=0.2368
Epoch 344: val_loss=4.8098, val_acc=0.2387
Epoch 345: val_loss=4.8000, val_acc=0.2402
Epoch 346: val_loss=4.7857, val_acc=0.2393
Epoch 347: val_loss=4.7906, val_acc=0.2419
Epoch 348: val_loss=4.7746, val_acc=0.2444
Epoch 349: val_loss=4.7928, val_acc=0.2408
Epoch 350: val_loss=4.7774, val_acc=0.2414
Epoch 351: val_loss=4.7892, val_acc=0.2397
Epoch 352: val_loss=4.7808, val_acc=0.2397
Epoch 353: val_loss=4.7900, val_acc=0.2438
Epoch 354: val_loss=4.8068, val_acc=0.2393
Epoch 355: val_loss=4.7883, val_acc=0.2402
Epoch 356: val_loss=4.8019, val_acc=0.2395
Epoch 357: val_loss=4.7904, val_acc=0.2391
Epoch 358: val_loss=4.7913, val_acc=0.2370
Epoch 359: val_loss=4.7979, val_acc=0.2387
Epoch 360: val_loss=4.8011, val_acc=0.2406
Epoch 361: val_loss=4.7992, val_acc=0.2408
Epoch 362: val_loss=4.7969, val_acc=0.2385
Epoch 363: val_loss=4.7936, val_acc=0.2363
Epoch 364: val_loss=4.7933, val_acc=0.2383
Epoch 365: val_loss=4.8019, val_acc=0.2363
Epoch 366: val_loss=4.7998, val_acc=0.2380
Epoch 367: val_loss=4.8019, val_acc=0.2391
Epoch 368: val_loss=4.7979, val_acc=0.2429
Epoch 369: val_loss=4.7993, val_acc=0.2391
Epoch 370: val_loss=4.8021, val_acc=0.2406
Epoch 371: val_loss=4.8021, val_acc=0.2378
