Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 212: val_loss=0.0183, val_acc=1.0000
Epoch 213: val_loss=0.0181, val_acc=1.0000
Epoch 214: val_loss=0.0174, val_acc=1.0000
Epoch 215: val_loss=0.0164, val_acc=1.0000
Epoch 216: val_loss=0.0159, val_acc=1.0000
Epoch 217: val_loss=0.0160, val_acc=1.0000
Epoch 218: val_loss=0.0177, val_acc=1.0000
Epoch 219: val_loss=0.2117, val_acc=0.9932
Epoch 220: val_loss=0.1112, val_acc=0.9985
Epoch 221: val_loss=0.0471, val_acc=1.0000
Epoch 222: val_loss=0.0278, val_acc=1.0000
Epoch 223: val_loss=0.0210, val_acc=1.0000
Epoch 224: val_loss=0.0193, val_acc=1.0000
Epoch 225: val_loss=0.0185, val_acc=1.0000
Epoch 226: val_loss=0.0183, val_acc=1.0000
Epoch 227: val_loss=0.0184, val_acc=1.0000
Epoch 228: val_loss=0.0185, val_acc=1.0000
Epoch 229: val_loss=0.0186, val_acc=1.0000
Epoch 230: val_loss=0.0187, val_acc=1.0000
Epoch 231: val_loss=0.0189, val_acc=1.0000
Epoch 232: val_loss=0.0189, val_acc=1.0000
Epoch 233: val_loss=0.0190, val_acc=1.0000
Epoch 234: val_loss=0.0189, val_acc=1.0000
Epoch 235: val_loss=0.0188, val_acc=1.0000
Epoch 236: val_loss=0.0187, val_acc=1.0000
Epoch 237: val_loss=0.0184, val_acc=1.0000
Epoch 238: val_loss=0.0181, val_acc=1.0000
Epoch 239: val_loss=0.0178, val_acc=1.0000
Epoch 240: val_loss=0.0174, val_acc=1.0000
Epoch 241: val_loss=0.0169, val_acc=1.0000
Epoch 242: val_loss=0.0165, val_acc=1.0000
Epoch 243: val_loss=0.0162, val_acc=1.0000
Epoch 244: val_loss=0.0158, val_acc=1.0000
Epoch 245: val_loss=0.0152, val_acc=1.0000
Epoch 246: val_loss=0.0149, val_acc=1.0000
