Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 188: val_loss=6.4927, val_acc=0.2674
Epoch 189: val_loss=6.5081, val_acc=0.2676
Epoch 190: val_loss=6.5030, val_acc=0.2674
Epoch 191: val_loss=6.4971, val_acc=0.2687
Epoch 192: val_loss=6.5039, val_acc=0.2663
Epoch 193: val_loss=6.4854, val_acc=0.2699
Epoch 194: val_loss=6.4975, val_acc=0.2682
Epoch 195: val_loss=6.4954, val_acc=0.2714
Epoch 196: val_loss=6.4903, val_acc=0.2742
Epoch 197: val_loss=6.4928, val_acc=0.2725
Epoch 198: val_loss=6.4965, val_acc=0.2699
Epoch 199: val_loss=6.4929, val_acc=0.2710
Epoch 200: val_loss=6.4709, val_acc=0.2733
Epoch 201: val_loss=6.4857, val_acc=0.2723
Epoch 202: val_loss=6.4811, val_acc=0.2731
Epoch 203: val_loss=6.4730, val_acc=0.2750
Epoch 204: val_loss=6.4706, val_acc=0.2757
Epoch 205: val_loss=6.4751, val_acc=0.2735
Epoch 206: val_loss=6.4677, val_acc=0.2780
Epoch 207: val_loss=6.4722, val_acc=0.2752
Epoch 208: val_loss=6.4676, val_acc=0.2744
Epoch 209: val_loss=6.4671, val_acc=0.2765
Epoch 210: val_loss=6.4640, val_acc=0.2772
Epoch 211: val_loss=6.4580, val_acc=0.2772
Epoch 212: val_loss=6.4572, val_acc=0.2750
Epoch 213: val_loss=6.4556, val_acc=0.2801
Epoch 214: val_loss=6.4586, val_acc=0.2791
Epoch 215: val_loss=6.4538, val_acc=0.2769
Epoch 216: val_loss=6.4475, val_acc=0.2784
Epoch 217: val_loss=6.4400, val_acc=0.2801
Epoch 218: val_loss=6.4491, val_acc=0.2797
Epoch 219: val_loss=6.4349, val_acc=0.2803
Epoch 220: val_loss=6.4339, val_acc=0.2791
Epoch 221: val_loss=6.4337, val_acc=0.2806
Epoch 222: val_loss=6.4371, val_acc=0.2823
Epoch 223: val_loss=6.4301, val_acc=0.2823
Epoch 224: val_loss=6.4310, val_acc=0.2818
Epoch 225: val_loss=6.4231, val_acc=0.2812
Epoch 226: val_loss=6.4201, val_acc=0.2840
Epoch 227: val_loss=6.4136, val_acc=0.2844
Epoch 228: val_loss=6.4218, val_acc=0.2846
Epoch 229: val_loss=6.4077, val_acc=0.2861
Epoch 230: val_loss=6.4045, val_acc=0.2827
Epoch 231: val_loss=6.4010, val_acc=0.2852
Epoch 232: val_loss=6.4111, val_acc=0.2827
Epoch 233: val_loss=6.3892, val_acc=0.2865
Epoch 234: val_loss=6.3917, val_acc=0.2848
Epoch 235: val_loss=6.3986, val_acc=0.2842
Epoch 236: val_loss=6.3884, val_acc=0.2874
Epoch 237: val_loss=6.3920, val_acc=0.2844
Epoch 238: val_loss=6.3876, val_acc=0.2859
Epoch 239: val_loss=6.3729, val_acc=0.2865
Epoch 240: val_loss=6.3762, val_acc=0.2848
Epoch 241: val_loss=6.3653, val_acc=0.2859
Epoch 242: val_loss=6.3730, val_acc=0.2886
Epoch 243: val_loss=6.3625, val_acc=0.2878
Epoch 244: val_loss=6.3662, val_acc=0.2880
Epoch 245: val_loss=6.3682, val_acc=0.2880
Epoch 246: val_loss=6.3602, val_acc=0.2897
Epoch 247: val_loss=6.3532, val_acc=0.2903
Epoch 248: val_loss=6.3557, val_acc=0.2929
Epoch 249: val_loss=6.3496, val_acc=0.2908
Epoch 250: val_loss=6.3514, val_acc=0.2920
Epoch 251: val_loss=6.3373, val_acc=0.2918
Epoch 252: val_loss=6.3403, val_acc=0.2908
Epoch 253: val_loss=6.3323, val_acc=0.2910
Epoch 254: val_loss=6.3324, val_acc=0.2916
Epoch 255: val_loss=6.3340, val_acc=0.2912
Epoch 256: val_loss=6.3300, val_acc=0.2903
Epoch 257: val_loss=6.3248, val_acc=0.2912
Epoch 258: val_loss=6.3136, val_acc=0.2948
Epoch 259: val_loss=6.3181, val_acc=0.2916
Epoch 260: val_loss=6.3090, val_acc=0.2929
Epoch 261: val_loss=6.3022, val_acc=0.2920
Epoch 262: val_loss=6.3015, val_acc=0.2927
Epoch 263: val_loss=6.2974, val_acc=0.2959
Epoch 264: val_loss=6.3079, val_acc=0.2942
Epoch 265: val_loss=6.2893, val_acc=0.2939
Epoch 266: val_loss=6.2874, val_acc=0.2948
Epoch 267: val_loss=6.2839, val_acc=0.2942
Epoch 268: val_loss=6.2693, val_acc=0.2982
Epoch 269: val_loss=6.2814, val_acc=0.2963
Epoch 270: val_loss=6.2748, val_acc=0.2952
Epoch 271: val_loss=6.2714, val_acc=0.2969
Epoch 272: val_loss=6.2681, val_acc=0.2971
Epoch 273: val_loss=6.2694, val_acc=0.2963
Epoch 274: val_loss=6.2537, val_acc=0.3016
Epoch 275: val_loss=6.2685, val_acc=0.2963
Epoch 276: val_loss=6.2605, val_acc=0.2959
Epoch 277: val_loss=6.2549, val_acc=0.2990
Epoch 278: val_loss=6.2624, val_acc=0.2954
Epoch 279: val_loss=6.2378, val_acc=0.3010
Epoch 280: val_loss=6.2477, val_acc=0.2982
Epoch 281: val_loss=6.2391, val_acc=0.3001
Epoch 282: val_loss=6.2394, val_acc=0.3003
Epoch 283: val_loss=6.2337, val_acc=0.3010
Epoch 284: val_loss=6.2316, val_acc=0.2986
Epoch 285: val_loss=6.2309, val_acc=0.2999
Epoch 286: val_loss=6.2262, val_acc=0.3003
Epoch 287: val_loss=6.2233, val_acc=0.3020
Epoch 288: val_loss=6.2147, val_acc=0.3035
Epoch 289: val_loss=6.2154, val_acc=0.3016
Epoch 290: val_loss=6.1987, val_acc=0.3044
Epoch 291: val_loss=6.2102, val_acc=0.3012
Epoch 292: val_loss=6.1999, val_acc=0.3031
Epoch 293: val_loss=6.1966, val_acc=0.3061
Epoch 294: val_loss=6.2092, val_acc=0.3007
Epoch 295: val_loss=6.1929, val_acc=0.3024
Epoch 296: val_loss=6.1926, val_acc=0.3022
Epoch 297: val_loss=6.1913, val_acc=0.3046
Epoch 298: val_loss=6.1939, val_acc=0.3041
Epoch 299: val_loss=6.1846, val_acc=0.3065
Epoch 300: val_loss=6.1841, val_acc=0.3027
Epoch 301: val_loss=6.1828, val_acc=0.3063
Epoch 302: val_loss=6.1760, val_acc=0.3063
Epoch 303: val_loss=6.1664, val_acc=0.3086
Epoch 304: val_loss=6.1579, val_acc=0.3069
Epoch 305: val_loss=6.1558, val_acc=0.3082
Epoch 306: val_loss=6.1476, val_acc=0.3107
Epoch 307: val_loss=6.1482, val_acc=0.3092
Epoch 308: val_loss=6.1535, val_acc=0.3073
Epoch 309: val_loss=6.1507, val_acc=0.3080
Epoch 310: val_loss=6.1471, val_acc=0.3092
Epoch 311: val_loss=6.1403, val_acc=0.3103
Epoch 312: val_loss=6.1480, val_acc=0.3075
Epoch 313: val_loss=6.1485, val_acc=0.3105
Epoch 314: val_loss=6.1300, val_acc=0.3101
Epoch 315: val_loss=6.1284, val_acc=0.3139
Epoch 316: val_loss=6.1274, val_acc=0.3097
Epoch 317: val_loss=6.1241, val_acc=0.3107
Epoch 318: val_loss=6.1193, val_acc=0.3103
Epoch 319: val_loss=6.1173, val_acc=0.3109
Epoch 320: val_loss=6.1101, val_acc=0.3114
