100%|██████████| 1000/1000 [14:39<00:00,  1.14it/s]

============================================================
🔶 SPARSE TRAINING
============================================================
Config: 2L×128D×4H, L0=0.1
wandb: WARNING Calling wandb.login() after wandb.init() has no effect.
wandb: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 10000 steps (~1000 epochs)
Epoch 156: val_loss=4.6017, val_acc=0.0079
Epoch 157: val_loss=4.6014, val_acc=0.0079
Epoch 158: val_loss=4.6011, val_acc=0.0081
Epoch 159: val_loss=4.6006, val_acc=0.0083
Epoch 160: val_loss=4.5999, val_acc=0.0083
Epoch 161: val_loss=4.5997, val_acc=0.0072
Epoch 162: val_loss=4.5999, val_acc=0.0089
Epoch 163: val_loss=4.5996, val_acc=0.0068
Epoch 164: val_loss=4.5997, val_acc=0.0072
Epoch 165: val_loss=4.5987, val_acc=0.0066
Epoch 166: val_loss=4.5981, val_acc=0.0062
Epoch 167: val_loss=4.5980, val_acc=0.0068
Epoch 168: val_loss=4.5977, val_acc=0.0079
Epoch 169: val_loss=4.5996, val_acc=0.0079
Epoch 170: val_loss=4.5993, val_acc=0.0085
Epoch 171: val_loss=4.5995, val_acc=0.0100
Epoch 172: val_loss=4.5992, val_acc=0.0089
Epoch 173: val_loss=4.5992, val_acc=0.0064
Epoch 174: val_loss=4.5987, val_acc=0.0072
Epoch 175: val_loss=4.5984, val_acc=0.0079
Epoch 176: val_loss=4.5984, val_acc=0.0079
Epoch 177: val_loss=4.5984, val_acc=0.0096
Epoch 178: val_loss=4.5986, val_acc=0.0089
Epoch 179: val_loss=4.5979, val_acc=0.0087
Epoch 180: val_loss=4.5978, val_acc=0.0083
Epoch 181: val_loss=4.5970, val_acc=0.0096
Epoch 182: val_loss=4.5991, val_acc=0.0098
Epoch 183: val_loss=4.5986, val_acc=0.0098
Epoch 184: val_loss=4.5982, val_acc=0.0102
Epoch 185: val_loss=4.5979, val_acc=0.0100
