Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 153: val_loss=7.0966, val_acc=0.1532
Epoch 154: val_loss=7.0980, val_acc=0.1532
Epoch 155: val_loss=7.1007, val_acc=0.1532
Epoch 156: val_loss=7.1029, val_acc=0.1526
Epoch 157: val_loss=7.1045, val_acc=0.1541
Epoch 158: val_loss=7.1011, val_acc=0.1539
Epoch 159: val_loss=7.1069, val_acc=0.1537
Epoch 160: val_loss=7.1045, val_acc=0.1545
Epoch 161: val_loss=7.1105, val_acc=0.1532
Epoch 162: val_loss=7.1106, val_acc=0.1543
Epoch 163: val_loss=7.1110, val_acc=0.1530
Epoch 164: val_loss=7.1120, val_acc=0.1532
Epoch 165: val_loss=7.1108, val_acc=0.1539
Epoch 166: val_loss=7.1145, val_acc=0.1539
Epoch 167: val_loss=7.1130, val_acc=0.1537
Epoch 168: val_loss=7.1144, val_acc=0.1539
Epoch 169: val_loss=7.1168, val_acc=0.1539
Epoch 170: val_loss=7.1176, val_acc=0.1537
Epoch 171: val_loss=7.1184, val_acc=0.1543
Epoch 172: val_loss=7.1185, val_acc=0.1535
Epoch 173: val_loss=7.1187, val_acc=0.1541
Epoch 174: val_loss=7.1196, val_acc=0.1537
Epoch 175: val_loss=7.1177, val_acc=0.1539
Epoch 176: val_loss=7.1192, val_acc=0.1537
Epoch 177: val_loss=7.1193, val_acc=0.1535
Epoch 178: val_loss=7.1187, val_acc=0.1541
Epoch 179: val_loss=7.1188, val_acc=0.1535
Epoch 180: val_loss=7.1194, val_acc=0.1532
Epoch 181: val_loss=7.1195, val_acc=0.1535
Epoch 182: val_loss=7.1191, val_acc=0.1539
Epoch 183: val_loss=7.1194, val_acc=0.1532
Epoch 184: val_loss=7.1201, val_acc=0.1541
Epoch 185: val_loss=7.1200, val_acc=0.1539
Epoch 186: val_loss=7.1200, val_acc=0.1539
Epoch 187: val_loss=7.1206, val_acc=0.1539
Epoch 188: val_loss=7.1208, val_acc=0.1541
Epoch 189: val_loss=7.1208, val_acc=0.1537
Epoch 190: val_loss=7.1208, val_acc=0.1535
Epoch 191: val_loss=7.1207, val_acc=0.1541
Epoch 192: val_loss=7.1208, val_acc=0.1541
Epoch 193: val_loss=7.1207, val_acc=0.1541
Epoch 194: val_loss=7.1206, val_acc=0.1541
Epoch 195: val_loss=7.1206, val_acc=0.1541
Epoch 196: val_loss=7.1206, val_acc=0.1541
Epoch 197: val_loss=7.1206, val_acc=0.1541
Epoch 198: val_loss=7.1206, val_acc=0.1541
Epoch 199: val_loss=7.1206, val_acc=0.1541

==================================================
Training complete!
Final nonzero params: 422,243 / 422,243
Final sparsity: 0.00%
Compression ratio: 1.0x
Saved final model to ./checkpoints\final_model.pt
