Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 190: val_loss=4.6000, val_acc=0.0079
Epoch 191: val_loss=4.6001, val_acc=0.0074
Epoch 192: val_loss=4.6001, val_acc=0.0072
Epoch 193: val_loss=4.6003, val_acc=0.0070
Epoch 194: val_loss=4.6004, val_acc=0.0077
Epoch 195: val_loss=4.6001, val_acc=0.0068
Epoch 196: val_loss=4.6000, val_acc=0.0068
Epoch 197: val_loss=4.6001, val_acc=0.0072
Epoch 198: val_loss=4.6002, val_acc=0.0072
Epoch 199: val_loss=4.6002, val_acc=0.0072
Epoch 200: val_loss=4.6001, val_acc=0.0077
Epoch 201: val_loss=4.6001, val_acc=0.0070
Epoch 202: val_loss=4.6002, val_acc=0.0077
Epoch 203: val_loss=4.6000, val_acc=0.0079
Epoch 204: val_loss=4.5999, val_acc=0.0072
Epoch 205: val_loss=4.6000, val_acc=0.0077
Epoch 206: val_loss=4.5999, val_acc=0.0083
Epoch 207: val_loss=4.5997, val_acc=0.0077
Epoch 208: val_loss=4.5996, val_acc=0.0074
Epoch 209: val_loss=4.5997, val_acc=0.0079
Epoch 210: val_loss=4.5997, val_acc=0.0085
Epoch 211: val_loss=4.5996, val_acc=0.0077
Epoch 212: val_loss=4.5996, val_acc=0.0083
Epoch 213: val_loss=4.5996, val_acc=0.0083
Epoch 214: val_loss=4.5996, val_acc=0.0085
Epoch 215: val_loss=4.5996, val_acc=0.0081
Epoch 216: val_loss=4.5994, val_acc=0.0079
Epoch 217: val_loss=4.5994, val_acc=0.0074
Epoch 218: val_loss=4.5993, val_acc=0.0074
Epoch 219: val_loss=4.5992, val_acc=0.0064
Epoch 220: val_loss=4.5992, val_acc=0.0070
Epoch 221: val_loss=4.5993, val_acc=0.0064
Epoch 222: val_loss=4.5993, val_acc=0.0072
Epoch 223: val_loss=4.5993, val_acc=0.0077
Epoch 224: val_loss=4.5994, val_acc=0.0077
Epoch 225: val_loss=4.5995, val_acc=0.0072
Epoch 226: val_loss=4.5993, val_acc=0.0072
Epoch 227: val_loss=4.5994, val_acc=0.0072
Epoch 228: val_loss=4.5995, val_acc=0.0068
Epoch 229: val_loss=4.5994, val_acc=0.0064
Epoch 230: val_loss=4.5993, val_acc=0.0068
Epoch 231: val_loss=4.5992, val_acc=0.0074
Epoch 232: val_loss=4.5992, val_acc=0.0072
Epoch 233: val_loss=4.5992, val_acc=0.0072
Epoch 234: val_loss=4.5994, val_acc=0.0072
Epoch 235: val_loss=4.5995, val_acc=0.0074
Epoch 236: val_loss=4.5994, val_acc=0.0077
Epoch 237: val_loss=4.5994, val_acc=0.0077
Epoch 238: val_loss=4.5995, val_acc=0.0070
